,OPEID,INSTNM,CITY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,region,ADM_RATE,UGDS,CURROPER,NPT4_PUB,NPT4_PRIV,COSTT4_A,COSTT4_P,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,C150_4,C150_L4,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,ENRL_ORIG_YR4_RT,DEBT_MDN,Year,NetPrice,Cost
4280,,Walsh College of Accountancy and Business Administration,Troy,1,3,4,2,3.0,,967.0,True,,,,,13460.0,4345.0,12188.0,0.1189,,,,,,,0.6065,0.6398,,,,14338.5,2013,,
4281,,Washtenaw Community College,Ann Arbor,1,1,2,1,3.0,,10172.0,True,6183.0,,10498.0,,2918.0,6451.0,7205.0,0.2524,,0.1563,,0.6373,,0.4975,0.2862,0.3989,,,,7000.5,2013,6183.0,10498.0
4282,,Wayne County Community College District,Detroit,1,2,2,1,3.0,,13713.0,True,5255.0,,10234.0,,1968.0,5014.0,6140.0,0.0823,,0.133,,0.4078,,0.3025,0.2985,0.4515,,,,5479.0,2013,5255.0,10234.0
4283,,Wayne State University,Detroit,1,3,4,1,3.0,0.7624,17789.0,True,12674.0,,20199.0,,9162.0,13146.0,9689.0,0.5301,0.3235,,0.7695,,0.4695,,0.5944,0.2745,,,,16000.0,2013,12674.0,20199.0
4284,,West Shore Community College,Scottville,1,2,2,1,3.0,,1167.0,True,3616.0,,7734.0,,1647.0,6032.0,7880.0,0.2358,,0.1242,,0.703,,0.4257,0.2129,0.3436,,,,6112.0,2013,3616.0,7734.0
4285,,Western Michigan University,Kalamazoo,1,3,4,1,3.0,0.8285,18755.0,True,17322.0,,22483.0,,10693.0,9354.0,9016.0,0.623,0.5491,,0.7371,,0.4865,,0.68,0.1348,,,,20875.0,2013,17322.0,22483.0
4286,,Western Theological Seminary,Holland,1,4,4,2,3.0,,,True,,,,,5704.0,13070.0,7426.0,0.8421,,,,,,,,,,,,,2013,,
4287,,Wright Beauty Academy,Battle Creek,1,1,1,3,3.0,,45.0,True,,6875.0,,12240.0,3973.0,1472.0,,,,0.8235,,0.75,,0.8182,0.0,0.5778,,,,,2013,6875.0,12240.0
4288,,Academy College,Minneapolis,1,2,3,3,4.0,,140.0,True,,23321.0,26704.0,,10686.0,2978.0,,,0.8,,,,1.0,,0.7763,0.6779,,,,16250.5,2013,23321.0,26704.0
4289,,Alexandria Technical & Community College,Alexandria,1,2,2,1,4.0,,1782.0,True,14494.0,,17952.0,,3517.0,6276.0,7082.0,0.4061,,0.5488,,0.7579,,0.4186,0.4098,0.2576,,,,9500.0,2013,14494.0,17952.0
