,OPEID,INSTNM,CITY,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,region,ADM_RATE,UGDS,CURROPER,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTFLOAN,UG25abv,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,ENRL_ORIG_YR4_RT,DEBT_MDN,Year,NetPrice,Cost,PREDDEG_N,Governance,EnrollmentBins,TuitionBins,ExpenditureBins,Complete,RetentionFT,RetentionPT
7595,Other,green country technology center,Okmulgee,1,1,1,1,6.0,,310.0,True,1339.0,12008.0,,0.475,0.0,0.1097,0.0996921939175,0.033107377935,0.0,6917.75,2013,4835.0,11852.0,Certificate,Public,medium,low,highest,0.8537,0.8846,1.0
6314,Other,green mountain college,Poultney,1,3,4,2,1.0,0.7555,578.0,True,14843.0,8245.0,6012.0,1.0,0.7111,0.0407,0.3835605580215,0.193277310924,0.0234227067485,15250.0,2013,19990.0,44446.0,Bachelor,Private nonprofit,large,highest,high,0.4118,0.7,
6452,Other,green river community college,Auburn,1,1,2,1,8.0,,5191.0,True,4191.0,4873.0,6316.0,1.0,0.1468,0.2944,0.0996921939175,0.033107377935,0.0,6957.0,2013,8079.0,13465.0,Certificate,Public,xl,med,med,0.3646,0.6245,0.5495
6810,Other,greene county career and technology center,Waynesburg,1,1,1,1,2.0,0.9744,35.0,True,9975.0,6501.0,,0.475,0.9643,0.4286,0.0996921939175,0.033107377935,0.0,14580.0,2013,12839.0,15657.0,Certificate,Public,small,high,high,0.6875,0.6739,
6893,Other,greene county vocational school district,Xenia,1,1,1,1,3.0,,171.0,True,3837.0,8108.0,,0.475,0.2047,0.4971,0.0996921939175,0.033107377935,0.0,6000.0,2013,9738.0,12799.0,Certificate,Public,medium,med,high,0.8363,0.8906,0.9286
4091,Other,greenfield community college,Greenfield,1,2,2,1,1.0,,1980.0,True,4845.0,7012.0,6618.0,0.3351,0.2885,0.4286,0.115118956255,0.289032258065,0.037419354839,5187.0,2013,11130.0,14787.0,Associates,Public,large,med,high,0.242,0.6019,0.5837
5128,Other,greensboro college,Greensboro,1,3,4,2,5.0,0.7831,802.0,True,12774.0,6340.0,6025.0,1.0,0.7619,0.1715,0.3835605580215,0.193277310924,0.0234227067485,20000.0,2013,19637.0,37497.0,Bachelor,Private nonprofit,large,highest,high,0.3059,0.6044,
3452,Other,greenville college,Greenville,1,3,4,2,3.0,0.657,1101.0,True,11504.0,6925.0,5649.0,1.0,0.7263,0.0983,0.3835605580215,0.193277310924,0.0234227067485,16568.0,2013,19125.0,33675.0,Bachelor,Private nonprofit,large,highest,high,0.5049,0.7290000000000001,
5906,Other,greenville technical college,Greenville,1,1,2,1,5.0,,12087.0,True,3054.0,5736.0,5269.0,0.4496,0.5626,0.413,0.0996921939175,0.033107377935,0.0,9500.0,2013,8310.0,13716.0,Certificate,Public,xl,med,med,0.0877,0.4889,0.3735
2014,Other,gretna college school of allied health,Gretna,1,1,1,3,5.0,,25.0,False,7701.0,1531.0,,0.42979999999999996,0.8983,0.413,0.673728813559,0.186440677966,0.0,9500.0,2012,8980.0,14529.0,Certificate,Private for-profit,small,high,low,0.7194,0.6505,
